Komentar
merinding aksi selamat menang bawa harum nama indonesia kibar bendera indonesia jepang
nang saking bangga terima kasih srikandi indonesia
tanding bangsa indonesia menang haru bangga greysia polii apriyani rahayu juara olimpiade tokyo
bangga best bangga sungguh bangsa indonesia kibar bendera merah putih juara dunia bravo bulutangkis indonesia
terima kasih allah engkau hadiah indah bangsa tengah pandemi
sumpah nang bahagia campur makasih gryesia apriyani moga trus prestasi bangga banget
terharuuuu
tuhan mungkinbagi tuhan mustahil komentator be like
alhamdulillah haru indonesia jaya joss gandos
moga anak ku harum nama bangsa beliawbeliaw
bosennya liatin liat merinding haru
nang haru detik indonesia menang medali emas
merinding bangga menang indonesia
linang air mata sujud syukur menang indonesia moga megejar impi k
terima kasih dua bangga harum nama bangsa tanah air indonesiamerah putih kibar
mantap main indonesia menjukan menang dunia semangat slalu dukung mu
tonton menang bahagia
merinding denger lagu indoneaia raya kumandang
tanding spekta fariasi pwrmainanya pindah cenel selamat smg bwt olompiade nular raih emas amin allah
haru indonesia menang air mata kaca kaca haru semangat mbak
alhamdulillah indonesia menang medali emas moga juang juang merdeka indonesia
greysia polii apriyani rahayu op selamat indonesia bangga
terima kasih pahlawan olahraga terima kasih hadiah hut ri
putar kali kali tetep nangess
warga indonesia bangga capai kakak greysia polii kakak apriyani rahayu moga depan sukses bawa harum negara cinta
congrats bangga bangsa indonesia
haru woy
bangga warga negara indonesia bahagia
auto nang liat menang
trimakasih bangsa senyum duka
indonesia bangga
indonesia bangga bangga bangga terima kasih kado dirrgahayu indonesia woohooooooooooo gold medalist sejarah
bendera indonesia kibar dijepang resmi tahan prestasi main bulutangkis
masya allah terharuuuu nagiiiis bangga
tanpas sadar air mata jatuh hidup indonesia raya
yuk bangkit tengah pandemi bangga haru prestasi patut acung jempol
epic moment ultah tanah air
rewatch tetep nang merinding
bolak liat masiihhh nang apriyani greysia bangga
bolak nonton menang duo tetes air mata haru bangga banget thanks greys and apriyani lupa terima kasih main main menang kecil hati semangat ajar strategi latih
bangga
indonesia bangga
minggu kali ulang video haru
selamat medali emas mantap
selamat capai ganda putri indonesia ssebagai warga indonesia bangga capai
alhamdulillah kado baik jelang hutri maju tanah air
alhamdulillah kasih kerja keras
ikut nang thank you so much harum nama negeri
banggaaaaaa alhamdulillah allah aaaa ma syaa allah congratss kaaamakasihh yaa hadiah merdeka bgt ini
bosen liat moment baik indonesia salam short escape id
ulang kali menang bangga
alhamdulillah selamat greysia polii apriyani rahayu indonesia
alhamdulillah selamat greysia polii apriyani rahayu eng hian
warga negara indonesia bangga haru
terimah kasih bangga indonesia
alhamdulillah warga indonesia patut bangga
bangga terimakasih juang
ku nonton ulang indonesia raya kumandang diri hormat selesai derai air mata bahagia
terimakasih greysia polii apriyani rahayu hadiah indonesia
skor hut ri
tanding tegang merinding
indonesia
terimakasih greysia pol apriyani rahayu haru bangga indonesia
thomas bach ketua komite olimpiade be like you in paris
indonesia bangga
haru alhamdulillah lipur lara bangsa indonesia pandemi corona moga motivasi generasi terus bangsa aamiin
bangga indonesia
masihh merinding liat
bangga
udah nonton kali tetep haru liat iniselamattt kakak
sulawesi bangga indonesia bangga
upsen siapah doa nang menang gold medal greyap trendingkan minggu gaes like
haru semangat sejarah
bangga indonesia haru baca tonton berita selamat ladies hebat
merinding haru bangga banget indonesia atlit hebat selamat terima kasih greysia apriyani
nang haru tegang nonton alhamdulillah
selamat menang indonesia satu teguh cerai runtuh
udah tetep bangga duo ganda putri iam proud of you
haru komentator
jujur sempet hopeless ganda putra gadang dpt emas keok tp greyap duga juara terima kasih kerja keras girls pahlawan kado indah hut ri pas olympic
gila match seru bgt sampe asa udh abis udud esse bungkus smbil nonton maju badminton indonesia
siapah doa greyap teriak heboh kaya valent siapaah kitaaaaaaa trendingkan gaes no gold medal sejarah ganda putri
atletik indonesia
alhamdulilah terima kasih congratulations greysia polii apriyani rahayu selamat indonesia
terimakasih sembah hadiah baik dirgahayu indonesia
haru tetes air mata grespoli menang tanding satu kuat
congratulation
bravo indonesia rakyat indonesia bangga haru nonton y
nang sinetron nang lihat juang
andai lomba begadang pagi gue juara
pas nonton siar langsung tegang pas menang loncat sampe mecahin kaca meja tp moment harga bangga indonesia
sembah sektor unggul kalah main baik dunia hormat bangga greysia apriyani
alhamdulillah air mata ku tetes bangga
hadiah rakyat indonesia terimakasih grasya polii apriani rahayukami bangga
bangga anak indonesia
diri samping diri balas online dah
halohalohai bravoo
allah kado indah agustus
mantab dal emas mari trendingkan chanel kembang manfaat
keren banget kakak bangga indonesia moga kelak dua desta and popo bangga in indonesia cinta amin
pahlawan olahraga warga indonesia bangga
nang greysia emas olimpiade hujung karier percaya raih greysia leadership bimbing apriani apriani penuh semangat terima masuk greysia selamat greysia apriani indonesia bangga milik juang kuat tenaga kibar bendera merah putih tokyo
nonton dera air mata terimakasih grisya apriani indonesia jaya
jaya indonesia makasih atlit indonesia
puji tuhan selamat menang
mantab selamat atlitatlit indonesia moga sukses
merdeka
indonesia bangga
terimakasih kakakkakak hadiah mu ulang indonesia
alhamdulillah tradisi emas olimpiade indonesia trimakasih greysia apriani
terimakasih indonesia bangga
alhamdulilah emaasss sepak bola emas
alhamdulilah juara rejekimah ngak mana semangak kat salam sumsel
puji tuhan semangat tuhan yesus kati
haru bahagia selamat terimakasih
selamat greysia p apriyani r bangga indonesia indonesia bangga greysia polii apriyani rahayu
menang bangga indonesia terimakasih kerja keras terimakasih juang
manis menang indah pahit juang
alhamdulillah trs nonton pdhl udah ulang kali
nonton ulang kalitetep nang
haru
that mustahil tuhan doa dengar merinding congratsss
hadiah indah bwt ulang indonesia slmt bwt greysia polli apriyani rahayu
merinding
indonesia bangga nonton live nonton siar ulang kali kali tetep neng banget haru bangga
bangga moga sukses depan
merinding haru indonesia raya kumandang terimakasih gres apri nama catat medali emas ganda putri
detik detik tegang bangga smangat greysia polli apriyani rahayu harum nama bangsa indonesi terimakasih bravo ganda putri
indonesia terimakasih gresyia apriyani ukir sejarah
indonesia kurang org hebat indonesia kekurwngan org jujur
gw rasa juang kak greys
sulit negeri junjung indonesia getar terima kasih
initenggorokanku sangkut apelair mata linang cinta cinta indonesia
kali kali lihat video mewek
alhamdulillah bismillah indonesia menang haru
latih eng hian main greysia apriyani contoh satu kuat indonesia satu teguh
kado hut ri terima kasih greyap terima kasih juang indonesia bangga
graysia apriyani main prestasi hebring jempol tampil lugu wajar sederhana tarik
bangga asli woooww
indonesia medali sport climbingpanjat tebing skateboard olimpiade tokyo
aaaa luuvv bangga banget indonesia
salut tim lawan salam juara sejati juara mrk sgt fair
haru banget pls
selamat menang timnas indonesia merdeka
terimakasih indonesia bangga
bangga indonesia kaka sukses depa semangat
liat main main mental bagus selisih hadap senyum salah salah senyum sumpah bagus bgt main
bangga indonesia
indonesia merah darah putih tulang indonesia semangat bangsa pilih
bangga haru trimakasih harum nama indonesia
bangga banget atlet indonesia greysia polii apriyano rahayu selamat atlet indonesia
momen epic sejarah putar gelar olimpic ada harga juang maksimal terima kasih bangga bahagia
moga medali emas indonesia tambah lagiindonesia jaya
terimakasih greysia apriani bangga bangsa indonesia kenang sejarah selamat
indonesia bangga terimakasih pol rahayu
indonesia bangga moga sehat
atlit juang mati harum nama indonesia dunia harap perintah juang
bangga bangga bangga bangga
alhamdulilah terimakasih allah tanggal timnas sepak bola
kemaren video ulangsemoga depa indonesia juara
sumpah merinding cok
yuk nang jamaah like bangga selamat kak greys apri
bangga menang indonesia
masyaallah merinding
menang tuhan mustahil
olahraga apa indonesia menang juara dunia tetes air mata
alhamdulillah jumlahin kado merdeka republik indonesia hikmah sendiri balik
biasaaaaa
merinding tetes air mata liat
senengpermainan bagus tampil greys aprimakasih greys apri
merinding haru
alhamdulilah haru terimakasih juang raih medali emas olympic banga
hadiah indah ultah ri hibur besar kalut lawan pandemi greysia polli apriyani
merinding leher lambang suci gagah perwira sungguh haru terimakasih greysia polii apriyani rahayu
haru jaya indonesia tim bulu tangkis indonesia olimpiade moga moment hapus ingat
moga olahraga indonesia dikembgkn lbih lgi aminnn
haru ulangtahun ri gigih terimakasih tuhan limpah rakyat indonesia amin gresya apriyani
kejut bangga keras buah manis selamat apri gresya
semangat greysia apriyani bangga pada
menang nonton video berkalikali
nonton ulang air mata haru bangga
haru bangga dua catat sejarah selamat
bangga haru semangat maju angkas
allah terima kasih hingga pada allah menang tetes air mata hamba tahan haru terima kasih allah
luarr biasaaaaa untk ber love you all
indonesia bangga pertiwi duka tpi rakyat indonesia bangga prestasi
asa nonton kkr bangga greysia apriyani juara
selamat sukses bawa berkah tanding sinar
alhamduillah jaya bulutangkis indonesia
bangga pada
haru nonton video bulu tangkis indonesia jaya
salut main china sportif jemput peluk selamat greysa apriyani
bangga bosen liat video kali
haru
haru menang kasih greysiaapriyani tim
wuih mantap bos akirnya indonesia bangga
lihat nang komentator nang ikut nang selamat kak gress apriyani terimakasih kado indonesia ultah agustus
sadar negeri koruptor cinta negeri terima pahlawan ku
semangat bara tekad juara
terimakasih biasaa sehat
mantap sehat haru liat merinding
olympiade moga tular olahraga selamat polli rahayu
bulu tangkis indonesia tinggal sepak bola benah i love sepak bola indonesia respek bulu tangkis indonesia
bangga terimakasih pahlawan
good jobkeep it up
selamat bangga indonesia subarashii
menang tetasa unggul kerja keras semangat pantang serah obat mimpi emas bulutangkis indonesia main unggul capai hasil sesuai ekspektasi hormat dar medali emas semangat kenal lelah
hadiah ulang negara semangat negriku terimakasih
bangga anak bangsa moga kelak harum nama indonesia
indonesia bangga gbu
moga olimpiade indonesia nomor amin yarobal alaminnnn
indonesia terima kasih srikandi indonesia nonton menang haru gimana moga muncul medali emas negeri
linang air mata saksi sembah emas olimpiade nkri graciapoli aprilia bangga main hebat
tuhan mustahil doa dengar terima kasih greysia polii apriyani rahayu
terimakasih gresia polii apriyani rahayu wakil indonesia cinta
well play
nonton tanding lontar amazed keren merinding haru selamat greysia polii apriyani rahayu hebat banget
allah merinding liat
kado indah ultah nkri
terima kasih greysia apriyani bahagia indonesia pandemi landa terima kasih
tunggu undang podcast om dedi
kalah minion kalah dadies kalah ginting obat grey apri juang emas obat rakyat indonesia terimakasih hebat
selamat pasang ganda putri indonesia smoga emas
rekam legendaris ninggalin jejak depan
haru saksi suka olah raga jaya indosiar
live nonton mewek liat mewek
duet anak sulawesipun prestasi kancah internasional harum nama bangsa indonesia terimakasih gresyia apriyani kado hut merdeka ri
merinding ampe stiap liat dua
mohon doa moga goreng jual laris habis amin
indonesia semangat pantang serah
moga bangga indonesia sehat
ayoayoo nyebut latih latih mentok bukti juaraaa mentokkkkk semifinal alhamdulillah kabul doa juaraaa takut nonton nunggu kabar akhirnyaaaaaaaa dpt kabar menyenangkannnnn
terimakasih tuhan terimakasih athet indonesia hebat
moga panutan generasi anak bangsa masa
olympiade atlet bandminton nyumbang medali emas yaa semangat atlet moga susul atlet bandminton xan medali apa indonesia bangga
mantaaappbikin haru
ingetin video trending jamdan rakyat indonesia bangga agustus
bangga anak indonesia
indonesia juara
alhamdulillah mantab djie hwa
terimakasihtelah harum nama bangsa kamisiapa indonesia
ngga dislike harum indonesia selamat ka grey kak apriyanii haru nyong
alhamdulillah maju indonesia tanah air
congratulation greysia voli apriyani
smpe nang bangga indonesia
sumpah gua nang liat
yessssss haru mustahil bagi love all
coba lihat taun depan atlit timnas indonesia bawa medali emas indonesia jamin jamin perintah
pasang semangat juang
greysia nang telat dikit liat apriyani nang langsung kejer nang
yallah mewekkk akuiselamatt kakak kakak
gk allah kalimat nyata syukur bgt greys and apri nunjukin performa baik so proud of you
selamat terima kasih harum nama indonesia lupa mampir channel ku
keren selamat pol rahayu
nang banget pas menang bangga
haru menang bangga srikandi indonesia angkat hormat bangsa indonesia panggung internasional
putar kali kali adegan greysia polii menang histeris peluk latih bahagia menang kali kali menang haru saksi
olahraga bukti satu satu indonesia
selamat tahan menang bulu tangkis ganda putri indonesia jenjang amin i love you gresia afriyani
bangga haru smpai sy menang
amazing congragulation good job suka cita duka bangsa minggir covid polli apriani tatas libas tuntas landing medali emas kado indah hut merdeka ri indonesia we all loving you lope puolllah pokoke jozzz gandos takendos bravo
sadar gua nntn ketawa ketawa neng ngeluarin air mata hebat banget dua
selamat gresya poliiapriyani rahayu bangga harum nama indonesia kanca internasional god bless dua
bangga gresya pol apriliani kado kemerdekan ri sembah
ggwp
sehat selalukalian mendpt pujiandr dunia khusus indonesia amin
momen haru baper apriyani gendong kakak greysia dapet poin apriliya cium tangan greysia apriyanii gentle cewek
kemarin udah nonton tanding live liat tiktok buka diyoutube mewek
imun masyaaallah alhamdulillaah
masya allah
bangga banget dah pokok indonesia
congrats girls selamat juang were totally proud of you
selamat salam indonesia jaya
semangat atlet indonesia
merinding nang nonton
kemenangn srikandi indonesia ajang kompetisi gengsi olimpiade tokyo merupkn kebnggaan milik bersma nkri
apresiasi anak bangsa juang harum nama indonesia segi apa sorot terexpose layar kaca
indonesia bangga anak bangsa
kerenn bat selamat
semangat srikandi bangsakibarkan merah putih segala penjuru bangsa
tuhan mustahil
indonesia peringkat dlm raih medali olympic raih emas perakdan perunggu negara asia tenggara lai thailand malaysia vietnam dll tinggi bangga
bangga bulu tangkis indonesa juara
biasaa masyallahh
keren indonesia ku
indonesia bangga
respect main china selamat pasang indonesia
selamat yaa moga sukses harum nama indonesia internasional
indonesia tanah air indonesia hebat indonesia mari doa indonesia bahagia kibar bendera ku indonesia
salut atlit komentatore
nonton vidio mrinding haru alhamdulillah dua hebat
komentator tuhan mustahil tuhan tuhan urap berkat indonesia mantab
ampun bangga dua sumpah haru
bangga meharumkan nama bangsa
bosan bosan nonton tanding bahagia babak tangga juara penuh haru daya juang harum sejarah indonesia
sumpah udh gk nang pas notnon nang haru
alhamdulillah congratulation terimakasih kak greys apri we proud of you biasaaaaaa
selamat juang olah raga indonesia
terimakasih sembah dal emas rakyat indonesia trima kasih ganda putri indonesiatidak sia juang lg trima kasih
indonesia bangga selamat menang kak grey ka apriyani sukses kakak
trharu bgt uda mngharumkan nm tanah air
bangga lengkap kategori indonesia raih medali emas congrats and maju badminton indonesia
selamat prestasi terimakasih juang kerja keras catat
indonesia negeri cinta orang mental juara alhamdulillah hasil kerja keras yng kuat juara
cepat sembuh indonesia sebentar ulang mu
indonesia bangga kelen selamat gresya rahayu good luck
menang menang campur aduk greysia apriyani
juang lelah hasil mebanggakan kepada grey aprii hebat
padhal nggak main lho bangga banget bpknya
gatau air mata tetes
terimakasih greysia harum indonesia
syukur alhamdulillah panjat kpd allah swt terimakasih sri kandi indonesia harum nama bangsa bangga rakyat indonesia indonesia bangkit
moga perintah juang putra putri baik juang harum nama bangsa kelak tinggal selesai abdi
grasyapoli udah juara
capai
haru indonesia hebat
haru banget ikut nang allah terimakasih kabul doa rakyat indonesia
komentator lebay wakil asa indonesia
ucap terimakasih alir deras wakil baik wanita gresiya polli apriyani rahayu sabet medali emas indonesia
nangiss dngerr perjuanga terimakasih membangvakan indonesia sehat semngat sllu
juang terima kasih greysia apriyani
trending dirgahayu republik indonesia
indonesia keringat medali emas sedgkan gunung emas lepas mudah
nang haru yuk akh usaha cita tangan youtuber
hebat indonesia terimakasih gresia poly apriani rahayu
maaf mending pikirin hostnya deh liat versi announcer inggris lapang kena sampe netes ni air mata beda pas versi host terimakasih emas satu olimpiade
kado indah hut tanah air indonesia sadar tetes air mata selamat greis polli
haru juang semangat srikandi indonesia
indonesia juara
semangat bangt akutuh nonton badminton tambah komentatronya valen semngat deh next tournamen tayangin moga dikomntarin lgi valen seruu
indonesia lengkap disiplin badminton kilap emas olimpiade china lengkap disiplin badminton tokyo
terima kasih kerja keras hadiah indah indonesia jelang hut ri moga sukses sehat kuat juang atlet baik raih medali emas
bangga banget indonesia indonesia warga hebat yuk tunjuk indonesia hebat dri negaranegara
pas main indonesia pas sholat dzuhur habis sholat sy panjat doa bs main tenang alhamdulillah juara selamat greysap moga atlet lai depan jg prestasi aamiin
selamat h moga rejeki berkah limpah aamiin moga senantiasa diri kokoh agama haq islam iman tambah laksana perintah allah jauh larang allah swt
selamat h moga rejeki berkah limpah aamiin moga senantiasa diri kokoh agama haq islam iman tambah laksana perintah allah jauh larang allah swt
puji tuhan emas kado hut ri selamat terima kasih greyap indonesia bangga
terima kasih prestasi toreh teladan
komentator mood bangett asa sembah
indonesia bangga
duh nntn nang haru skaliii
alhamdulillahirobbilalamiin terimakasih kerja keras kak gresia apri merinding haru lihat
bangga prestasi pahlawan olahraga indonesia
henti moga ana kelak angkat derajat orangtua
moment kiat sus smia audinarexy mainaky semuaterharuuuu sekalumau nangissss
krenn bgt bangga bgt semangat
lengkapsemua cabang badminton sekrg emas nang good job for you guys
merinding liatnyaa
alhamdulillah kado indonesia
plis gua nonton ulang ulang kali bangga
puji tuhan membut kau menang tuhan
keluarga menang lagu indonesia raya kumandang jepang terima kasih gresya apriyani ksuksesanmu badminton olympiade tokyo patriot nyata indonesia tetap giatuletfokus depan cemerlang
haru bangga badminton liat nang haru
kl liat kayak gin nang
thanks for make us proud
bang valen bungkus nggak obat komentator
kerja keras kerja ganda putri liat main de
merinding sumpah
kerenn bgtt
puji tuhan selamat menang gresia god bless you
indonesia gogo bangga catat sejarah 
haru menang haru
nggk kalah arief kasi cabang cctv ahh
indonesia bangga
neng banget lihat prestasi bangga negara
juang berat indonesia jaya
moga juang obat hibur bangsa indonesia bangga indonesia raya kumandang
terima kasih greysia apriyan catat nama banggan bangsa
terima kasih gresya p apriani rkalian angkat derajat bangsa indonesia mata dunia juara bulutangkis olimpiade tokyo
bangga
ulang merindingggggggg
tanding air mata alir tiada henti hidup indonesia
congratulations dua
kado indah merdeka indonesia terimakasih greysia polli apriayani rahayu
moga subcribe mudah urus
indonesia loves you
haru airmata mbrebes mil liat moment inialhamdulillah terimakasih pahlawan grey apri love you both
alhamdulillah allah
hadiah baik sambut hut ri tengah situasi pandemi
semangat pol apriyani indonesia jaya
ken nang denger valentino ken ketawa anjir kocakv
indonesia raya kumandang
haru liat merinding sumpah
selamat greysia apri
haru
tunggu bagi mudah ntar endingnya gmana percaya msih tunggu mampir guys vidio shorts quotes
terima kasih greysia apriyani indonesia bangga
yok sukses youtuber mula silah trending
yok sukses youtuber mula silah trending
epic moment selamat pahlawan indonesia
alhamdulillah ilmu konten bang moga cepet tembus ribu subcribe bang amin bagi konten manfaat bang tular subcribe kaya channel abang amin x
lengkap sektor badminton udah pernh persembahkn emas olimpiade bwt indonesia bravo indonesia
terimakasih pahlawan indonesia apri
haru bagak negara
joss bang jebret nang
mewek karna bangga tangis bahagia haru juang indonesia sejarah gue mewek parah merinding
hadiah istimewa ulang hut ri republik indonesia terimakasih grasiyaapriiyani
haru selamat nama indomesia
sulawesi indonesia liat indonesia raya kibar
selamat gresia apri haru
semangat indonesia tengah badai covid prestasi ukir sejarah
nang lihat bangga juang harum negara indonesia
pasang isi greci polii peluang bola bingung musuh rahayu tukang gebuk habis lawan gar bawah greci eng hian rahayu semangat rahayu lipat ganda
merinding suara komentator
amin haleluyapuji tuhan
trending
indonesia bangga dua sulawesi syukur apriani selamat kk greys ani
mantaf indonesia bangga
moga sukses moga cita cita capai mimpi bahagia orang tua cepat wujud semangat serah berusahajangan lupa doa
ma sya allahikut senang
sungguh biasa love
pecaah nang selamat kakak hebat kak greysia kak apriyani terima kasih juang bawa emas indonesia indonesia bangga proud of you guys emoticon nang love tepuk tangan
ikut haru sampe nang
yok trendingkan minggu yok bangga bangsa
turun
allah haru bahagiain orang tua
allah haru bangga hidup momen sejarah saksi menang olimpiade
selamat terima kasih udah dal emas indonesia
inspirasi content creator sederhana film dokumenter jalan juang bangsa harum nama indonesia sejahtera indonesia ku creator sederhana
tinggal sepakbolanya semangat
allah sedih bener haru valen sampe nang
terima kasih juang berkat peringkat indonesia
selamat kado indah ulang ri
wooo woooo woooo haru melihaatnya indonesia kuhhhh
selamat dua bestt bawa nama indonesia bestt bestttt sukses
alhamdulillah nonton tvri
satu bangsa terimakasih greysia apriyani god bless indonesia
ahhhh nang
apriyani knp suka ngangkat polii poliinya gasuka angkat wkwk geli congratulations dua
wawww mantaapp indonesia hati
mewek gue bangga bgt alloh dua
terima ksih smua menang tanding juri rakyat indonesia
nonton kali tetep nang ngikutin badminton jaman liat greys pasang liana jauhari kalah perempatfinal tournament diskualifikasi olympic nitya menang perdana korea open dapet emas asi games pas final super series nitya cidera pas lawan kakiiwamaeda ketemu apri debut sudirman cup saing top konsisten tournaments hasil juang grey proud of you
bangga indonesia ku tunjuk dunia bisaa
indonesia akhirnyyaaa haru neng satuu
from unseeded to undisputed proud both of you
mantap abiez
lupa sejahtera perhati pahlawan
haru
thank you
elu elu lupa pahlawan sejati
terima kasih greysia polli apriyana rahayu sembah hadiah indah merdeka republik indonesia negara cinta
indonesia selamat ganda putri indonesia kado hutri
komentator merinding obat
menang bahagia menang bangsa dr usaha keras dua srikandi bangsa
slamat gresiaafriyani mndali emas x sukses slalu
puji tuhan nama tuhan yesus mulia dirgahayu indonesia harga greysia rahayu im so proud of you guys stay blessed
keren lanjut bangga
tahan trending gaes kalah joget joget bawah
hadiah ulang indonesia sangatt bang
haru lihat gambar emosi denger suara gabung
terimakasih juang medali emas selamat terimakasih
selamat kati
semangat
baik lupa mampir channel bahas sepak bola indonesia
kayak gin naikin trendingnya bangga banget
langsung nang bahagia pas last game ngikutin gimana semangat juang duo celebes laju sampek babak final bangga byk byk we love you
indonesia indonesia nomor menang olimpiade tokyo medali
bangga generasi muda semanga
nasionalisme komentator
skor pas kado merdeka indonesia terimakasih tuhan dengar
mbak hebaaaat tidac bangga bahagia bangga
bangga
mantap semangat
yo trending tgl agustus
vibes rasa banget bangga menang bahagia menang
emas dapat keringat kerja keras air mata gunung gunung emas mudah kau lepas
sungguh haru tradisi emas bulutangkis
kuasa tahan air matasking haru
tuhan doa dengar doa definisi lupa sma tuhan
selamat indonesia warga indonesia bangga terimakasih menang mharumkan indonesia indonesia
trending
bangga indonesia menang badminton
indonesia olahraga bulutangkis
gua menang menang haru saksi bawa indonesia menang
terharuuu
mantabbbb atlet greysia apriyanti bangga indonesia
jadi kado ulang indonesia ku
bangga haru
kado indah jelang merdeka indonesia terima kasihhhhh
aaaa terhuraaa
amazing
mantap indonesia hebatindonesia indonesia juara
selamat menang indonesia bangga
komentator keren tuhan tuhan mustahil
mantap tradisi lanjut
alhamdulilah bangga semangat generasi emas dimilili negara indonesia juaraaaaa
nang bahagia liat
kasih rakyat indonesia bangga
greysia polii apriani rahayu this gold medal is for you guys markis kido thank god thank you indonesia you are the real badminton heroes
epictos momentos
sedih denger cerita ka apriani sukses lov yuo indonesia
bangga sekali
alhamdulillah menang
org indonesia haru bahagia video
bangga banget allah
bangga jadi sejarah mampir yuk warung ane
selamat pasang ganda putri
selamat menang indonesia jaya indonesia
nahan tangis udah lihat juang harum negara cinta indonesia alhamdulillah terima kasih juang
ceurik urang ningali iyeusaking bangga na
moga tua siasiain kayak atlit
selamat indonesia sya bngga jdi orng indonesia
srikandi cantik menang medali emas bulu tangkis indonesia terima kasih polii apriyani rahayu
denger apri makasih kak bener bener kakak adik merinding selamat apri greysia indonesia bangga
rakyat indonesia terima kasih terima kasih greisiya apriyani congrats
bakar semngt nasionalismerakyat indonesia
gw ngeliat kali nang euforia ilang
speechless sejarah rakyat indonesia bangga
selamat menang indonesia terimakasih greysia apriyani rayahu
selamat indonesia
haru emas
alhamdulillah terima kasih allah jogja
haru nang sengguk lihat indonesia bangga duo srikandi kado indah ultah ri
moga baca komentar youtuber suksessemangat gotong royong k subscriberjam tayang
selamat dal emas kmu dpt indonesia salam dr kota palembang
bangga kibar bendera merah putih negara orang indonesia
selamat kak poliiapri
keluarga menang lagu indonesia raya kumandang jepang terima kasih gresya apriyani ksuksesanmu badminton olympiade tokyo patriot nyata indonesia tetap giatuletfokus depan cemerlang semangat ok
bangga banget
indonesia bangga perempuan pimpin kawal puan maharani ri salam mikrofon
indonesia moga maju
moga anak ku mereke dua bangga negara
haru banget merinding liat allah bangga banget lanjut hidup indonesia terima kasih atlet indonesia
keren selamat obat bangsa puruk covid
juara
mudah mudah olimpiade generasi polli
mantabbb cetak sejarah
terima kasih tuhan terima kasih medali emas terima kasih juang
komentator nang
bangga bawa nama indonesia indonesia bisaaa
bangga banget masuk club doain moga kayak amiin
gw ikut nang knapa
terima kasih bnyk srikandiindonesia harga indonesia sejarah slalu indonesia kibar bendera merdeka indonesia hadiah
haru melihatnye bangga bangga indonesia bangga
amazing
kali kali nonton tetep nang
keren ganda putri indonesia alas ganda putri juara olimpiade
terima kasih juang indonesia raya kumandang olimpiade
bangga hapus duka negeri bahagia gres apri hebat terimakasih
haru bangga
merinding lihat vidio
bangga banget
tuhan mustahil
bts trending syukur
terharuu
rakyat indonesia serta jajar tikus kantor koruptor bangga dua
moga andal indonesia
terimakasih atlet indonesia usaha semangat kerja keras harum nama bangsa
menang pujapuja kalah hinahina indonesia
alhamdulillah selamat menang indonesia
selamat menang indonesia
indonesia bangkit kalah negara indonesia slalu hati
terimakasih polli rahayu berkat lupa beban pundak
kalah olympic kali saksi langsung pasang china kalah pasang greysiaapriani partai final raut wajah ganda china tangkap pasang china khawatir takut hadap greysiaapriani khawatir pasang greyap tahan tangguh
nnton nagis bangga dn biasaaaaa
sukses
amazinh
